date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:19	5072/5072	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:19%20GMT	http://weaintplastic.com/work/row-low	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/row-low.html	(from http://weaintplastic.com/)
12:11:20	8968/8968	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:19%20GMT	http://weaintplastic.com/work/digging-in-the-crates	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/digging-in-the-crates.html	(from http://weaintplastic.com/)
12:11:20	4899/4899	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:19%20GMT	http://weaintplastic.com/work/infinity-configurator	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/infinity-configurator.html	(from http://weaintplastic.com/)
12:11:20	4107/4107	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:20%20GMT	http://weaintplastic.com/work/web-dev-field-guide	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/web-dev-field-guide.html	(from http://weaintplastic.com/)
12:11:32	26432/26432	---M--	200	added ('OK')	image/svg+xml	etag:%225761dfb-6740-518b258354e5b%22	http://weaintplastic.com/assets/img/workflow-headline.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/workflow-headline.svg	(from http://weaintplastic.com/)
12:11:43	43809/43809	---M--	200	added ('OK')	image/svg+xml	etag:%225761def-ab21-518b2583cef7f%22	http://weaintplastic.com/assets/img/workflow.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/workflow.svg	(from http://weaintplastic.com/)
12:11:55	43438/43438	---M--	200	added ('OK')	image/svg+xml	etag:%225761dee-a9ae-518b2584ada07%22	http://weaintplastic.com/assets/img/workflow-vertical.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/workflow-vertical.svg	(from http://weaintplastic.com/)
12:11:56	3257/3257	---M--	200	added ('OK')	image/svg+xml	etag:%225761deb-cb9-51881852f633c%22	http://weaintplastic.com/assets/img/logos/logo-twitter.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-twitter.svg	(from http://weaintplastic.com/)
12:11:56	1996/1996	---M--	200	added ('OK')	image/svg+xml	etag:%225761de6-7cc-51881850a9546%22	http://weaintplastic.com/assets/img/logos/logo-codepen.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-codepen.svg	(from http://weaintplastic.com/)
12:11:56	1327/1327	---M--	200	added ('OK')	image/svg+xml	etag:%225761de4-52f-5188185192bae%22	http://weaintplastic.com/assets/img/logos/logo-github.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-github.svg	(from http://weaintplastic.com/)
12:11:56	3811/3811	---M--	200	added ('OK')	image/svg+xml	etag:%225761dea-ee3-5188185285e58%22	http://weaintplastic.com/assets/img/logos/logo-medium.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-medium.svg	(from http://weaintplastic.com/)
12:11:57	2613/2613	---M--	200	added ('OK')	image/svg+xml	etag:%225761de9-a35-51881851fa3f2%22	http://weaintplastic.com/assets/img/logos/logo-linkedin.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-linkedin.svg	(from http://weaintplastic.com/)
12:11:57	4386/4386	---M--	200	added ('OK')	image/svg+xml	etag:%225761dec-1122-518818536c5e0%22	http://weaintplastic.com/assets/img/logos/logo-xing.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logos/logo-xing.svg	(from http://weaintplastic.com/)
12:12:10	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	//Mac/Home/Desktop/Web/web234/www.google-analytics.com/analytics.js	(from http://weaintplastic.com/)
12:12:21	8501/8501	---M-Z	200	added ('OK')	application/javascript	etag:%225762320-2135-518b255ebda0c%22	http://weaintplastic.com/assets/js/scripts.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/js/scripts.min.js	(from http://weaintplastic.com/)
12:12:32	51662/51662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22576231c-c9ce-518b255d6cb60%22	http://weaintplastic.com/assets/fonts/oak-light/oak-light.eot	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-light/oak-light.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:12:55	51392/51392	---M--	200	added ('OK')	text/plain	etag:%225762323-c8c0-518b2565cc48d%22	http://weaintplastic.com/assets/fonts/oak-light/oak-light.ttf	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-light/oak-light.ttf	(from http://weaintplastic.com/assets/css/styles.min.css)
12:12:55	51662/51662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22576231c-c9ce-518b255d6cb60%22	http://weaintplastic.com/assets/fonts/oak-light/oak-light.eot?	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-light/oak-lightd41d.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:13:08	50758/50758	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225762315-c646-518b254d5394d%22	http://weaintplastic.com/assets/fonts/oak-bold/oak-bold.eot	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-bold/oak-bold.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:13:19	203831/203831	---MCZ	200	added ('OK')	application/javascript	etag:%225762322-31c37-518b257814034%22	http://weaintplastic.com/assets/js/vendor.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/js/vendor.min.js	(from http://weaintplastic.com/)
12:13:31	50492/50492	---M--	200	added ('OK')	text/plain	etag:%225762319-c53c-518b255a6d205%22	http://weaintplastic.com/assets/fonts/oak-bold/oak-bold.ttf	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-bold/oak-bold.ttf	(from http://weaintplastic.com/assets/css/styles.min.css)
12:13:31	50758/50758	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225762315-c646-518b254d5394d%22	http://weaintplastic.com/assets/fonts/oak-bold/oak-bold.eot?	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/oak-bold/oak-boldd41d.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:13:44	51786/51786	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225762325-ca4a-518b25690388a%22	http://weaintplastic.com/assets/fonts/plantin-light/plantin-light.eot	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/plantin-light/plantin-light.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:14:07	51600/51600	---M--	200	added ('OK')	text/plain	etag:%225762328-c990-518b256dc35d6%22	http://weaintplastic.com/assets/fonts/plantin-light/plantin-light.ttf	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/plantin-light/plantin-light.ttf	(from http://weaintplastic.com/assets/css/styles.min.css)
12:14:07	51786/51786	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225762325-ca4a-518b25690388a%22	http://weaintplastic.com/assets/fonts/plantin-light/plantin-light.eot?	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/fonts/plantin-light/plantin-lightd41d.eot	(from http://weaintplastic.com/assets/css/styles.min.css)
12:14:09	15914/15914	---M--	200	added ('OK')	image/png	etag:%225761da5-3e2a-518b2581199a6%22	http://weaintplastic.com/assets/img/browser-top.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/browser-top.png	(from http://weaintplastic.com/assets/css/styles.min.css)
12:14:20	1840/1840	---M--	200	added ('OK')	image/png	etag:%225761de8-730-518b258089121%22	http://weaintplastic.com/assets/img/phone-top.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/phone-top.png	(from http://weaintplastic.com/assets/css/styles.min.css)
12:14:20	2842/2842	---M--	200	added ('OK')	image/png	etag:%225761ded-b1a-518b258090e22%22	http://weaintplastic.com/assets/img/phone-bottom.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/phone-bottom.png	(from http://weaintplastic.com/assets/css/styles.min.css)
